"EnterpriseNumber","Status","JuridicalSituation","TypeOfEnterprise","JuridicalForm","JuridicalFormCAC","StartDate"
"0211.323.606","AC","000","2","124",,01-01-1968
"0211.323.804","AC","000","2","124",,01-01-1968
"0211.324.101","AC","000","2","124",,01-01-1968
"0211.324.594","AC","000","2","124",,01-01-1968
"0211.324.792","AC","000","2","124",,01-01-1968
"0211.324.891","AC","000","2","124",,01-01-1968
"0211.324.990","AC","000","2","124",,01-01-1968
"0211.325.089","AC","000","2","124",,01-01-1968
"0211.325.287","AC","000","2","124",,01-01-1968
"0211.325.386","AC","000","2","124",,01-01-1968
"0211.325.485","AC","000","2","124",,01-01-1968
"0211.325.584","AC","000","2","124",,01-01-1968
"0211.325.782","AC","000","2","124",,01-01-1968
"0211.326.079","AC","000","2","124",,01-01-1968
"0211.326.178","AC","000","2","124",,01-01-1968
"0211.326.376","AC","000","2","124",,01-01-1968
"0211.326.475","AC","000","2","124",,01-01-1968
"0211.326.574","AC","000","2","124",,01-01-1968
"0211.326.772","AC","000","2","124",,01-01-1968
"0211.326.871","AC","000","2","124",,01-01-1968
"0211.326.970","AC","000","2","124",,01-01-1968
"0211.327.069","AC","000","2","124",,01-01-1968
"0211.327.168","AC","000","2","124",,01-01-1968
"0211.327.267","AC","000","2","124",,01-01-1968
"0211.327.366","AC","000","2","124",,01-01-1968
"0211.327.465","AC","000","2","124",,01-01-1968
"0211.327.564","AC","000","2","124",,01-01-1968
"0211.327.663","AC","000","2","124",,01-01-1968
"0211.327.762","AC","000","2","124",,01-01-1968
"0211.327.861","AC","000","2","124",,01-01-1968
"0211.327.960","AC","000","2","124",,01-01-1968
"0211.328.059","AC","000","2","124",,01-01-1968
"0211.328.158","AC","000","2","124",,01-01-1968
"0211.328.455","AC","000","2","124",,01-01-1968
"0211.328.554","AC","000","2","124",,01-01-1968
"0211.328.653","AC","000","2","124",,01-01-1968
"0211.328.752","AC","000","2","124",,01-01-1968
"0211.328.851","AC","000","2","124",,01-01-1968
"0211.328.950","AC","000","2","124",,01-01-1968
"0211.329.049","AC","000","2","124",,01-01-1968
"0211.329.148","AC","000","2","124",,01-01-1968
"0211.329.346","AC","000","2","124",,01-01-1968
"0211.329.445","AC","000","2","124",,01-01-1968
"0211.329.742","AC","000","2","124",,01-01-1968
"0211.329.841","AC","000","2","124",,01-01-1968
"0211.329.940","AC","000","2","124",,01-01-1968
"0211.330.039","AC","000","2","124",,01-01-1968
"0211.330.138","AC","000","2","124",,01-01-1968
"0211.330.237","AC","000","2","124",,01-01-1968
"0211.330.435","AC","000","2","124",,01-01-1968
"0211.330.534","AC","000","2","124",,01-01-1968
"0211.330.732","AC","000","2","124",,01-01-1968
"0211.330.831","AC","000","2","124",,01-01-1968
"0211.331.029","AC","000","2","124",,01-01-1968
"0211.331.128","AC","000","2","124",,01-01-1968
"0211.331.326","AC","000","2","124",,01-01-1968
"0211.331.425","AC","000","2","124",,01-01-1968
"0211.331.524","AC","000","2","124",,01-01-1968
"0211.331.623","AC","000","2","124",,01-01-1968
"0211.331.722","AC","000","2","124",,01-01-1968
"0211.331.821","AC","000","2","124",,01-01-1968
"0211.331.920","AC","000","2","124",,01-01-1968
"0211.332.019","AC","000","2","124",,01-01-1968
"0211.332.217","AC","000","2","124",,01-01-1968
"0211.332.316","AC","000","2","124",,01-01-1968
"0211.332.514","AC","000","2","124",,01-01-1968
"0211.332.613","AC","000","2","124",,01-01-1968
"0211.332.712","AC","000","2","124",,01-01-1968
"0211.332.811","AC","000","2","124",,01-01-1968
"0211.332.910","AC","000","2","124",,01-01-1968
"0211.333.009","AC","000","2","124",,01-01-1968
"0211.333.108","AC","000","2","124",,01-01-1968
"0211.333.306","AC","000","2","124",,01-01-1968
"0211.333.504","AC","000","2","124",,01-01-1968
"0211.333.603","AC","000","2","124",,01-01-1968
"0211.333.702","AC","000","2","124",,01-01-1968
"0211.333.801","AC","000","2","124",,01-01-1968
"0211.333.997","AC","000","2","124",,01-01-1968
"0211.334.096","AC","000","2","124",,01-01-1968
"0211.334.195","AC","000","2","124",,01-01-1968
"0211.334.294","AC","000","2","124",,01-01-1968
"0211.334.393","AC","000","2","124",,01-01-1968
"0211.334.690","AC","000","2","124",,01-01-1968
"0211.334.789","AC","000","2","124",,01-01-1968
"0211.334.888","AC","000","2","124",,01-01-1968
"0211.334.987","AC","000","2","124",,01-01-1968
"0211.335.086","AC","000","2","124",,01-01-1968
"0211.335.482","AC","000","2","124",,01-01-1968
"0211.335.581","AC","000","2","124",,01-01-1968
"0211.335.779","AC","000","2","124",,01-01-1968
"0211.335.878","AC","000","2","124",,01-01-1968
"0211.336.076","AC","000","2","124",,01-01-1968
"0211.336.175","AC","000","2","124",,01-01-1968
"0211.336.274","AC","000","2","124",,01-01-1968
"0211.336.472","AC","000","2","124",,01-01-1968
"0211.336.571","AC","000","2","124",,01-01-1968
"0211.336.670","AC","000","2","124",,01-01-1968
"0211.336.769","AC","000","2","124",,01-01-1968
"0211.336.868","AC","000","2","124",,01-01-1968
"0211.337.165","AC","000","2","124",,01-01-1968
"0211.337.264","AC","000","2","124",,01-01-1968
"0211.337.462","AC","000","2","124",,01-01-1968
"0211.337.561","AC","000","2","124",,01-01-1968
"0211.337.660","AC","000","2","124",,01-01-1968
"0211.337.759","AC","000","2","124",,01-01-1968
"0211.337.858","AC","000","2","124",,01-01-1968
"0211.337.957","AC","000","2","124",,01-01-1968
"0211.338.056","AC","000","2","124",,01-01-1968
"0211.338.155","AC","000","2","124",,01-01-1968
"0211.338.254","AC","000","2","124",,01-01-1968
"0211.338.353","AC","000","2","124",,01-01-1968
"0211.338.452","AC","000","2","124",,01-01-1968
"0211.338.650","AC","000","2","124",,01-01-1968
"0211.339.145","AC","000","2","124",,01-01-1968
"0211.339.244","AC","000","2","124",,01-01-1968
"0211.339.343","AC","000","2","124",,01-01-1968
"0211.339.541","AC","000","2","124",,01-01-1968
"0211.339.739","AC","000","2","124",,01-01-1968
"0211.339.937","AC","000","2","124",,01-01-1968
"0211.340.036","AC","000","2","124",,01-01-1968
"0211.340.234","AC","000","2","124",,01-01-1968
"0211.340.333","AC","000","2","124",,01-01-1968
"0211.340.531","AC","000","2","124",,01-01-1968
"0211.340.729","AC","000","2","124",,01-01-1968
"0211.340.828","AC","000","2","124",,01-01-1968
"0211.340.927","AC","000","2","124",,01-01-1968
"0211.341.026","AC","000","2","124",,01-01-1968
"0211.341.125","AC","000","2","124",,01-01-1968
"0211.341.224","AC","000","2","124",,01-01-1968
"0211.341.422","AC","000","2","124",,01-01-1968
"0211.341.521","AC","000","2","124",,01-01-1968
"0211.341.620","AC","000","2","124",,01-01-1968
"0211.341.719","AC","000","2","124",,01-01-1968
"0211.341.818","AC","000","2","124",,01-01-1968
"0211.341.917","AC","000","2","124",,01-01-1968
"0211.342.016","AC","000","2","124",,01-01-1968
"0211.342.115","AC","000","2","124",,01-01-1968
"0211.342.214","AC","000","2","124",,01-01-1968
"0211.342.412","AC","000","2","124",,01-01-1968
"0211.342.511","AC","000","2","124",,01-10-1959
"0211.342.610","AC","000","2","124",,01-01-1968
"0211.342.709","AC","000","2","124",,01-01-1968
"0211.342.808","AC","000","2","124",,01-01-1968
"0211.342.907","AC","000","2","124",,01-01-1968
"0211.343.006","AC","000","2","124",,01-01-1968
"0211.343.105","AC","000","2","124",,01-01-1968
"0211.343.204","AC","000","2","124",,01-01-1968
"0211.343.402","AC","000","2","124",,01-01-1968
"0211.343.501","AC","000","2","124",,01-01-1968
"0211.343.697","AC","000","2","124",,01-01-1968
"0211.343.796","AC","000","2","124",,01-01-1968
"0211.343.895","AC","000","2","124",,01-01-1968
"0211.343.994","AC","000","2","124",,01-01-1968
"0211.344.093","AC","000","2","124",,01-01-1968
"0211.344.192","AC","000","2","124",,01-01-1968
"0211.344.291","AC","000","2","124",,01-01-1968
"0211.344.390","AC","000","2","124",,01-01-1968
"0211.344.588","AC","000","2","124",,01-01-1968
"0211.344.687","AC","000","2","124",,01-01-1968
"0211.344.885","AC","000","2","124",,01-01-1968
"0211.344.984","AC","000","2","124",,01-01-1968
"0211.345.182","AC","000","2","124",,01-01-1968
"0211.345.281","AC","000","2","124",,01-01-1968
"0211.345.380","AC","000","2","124",,01-01-1968
"0211.345.479","AC","000","2","124",,01-01-1968
"0211.345.578","AC","000","2","124",,01-01-1968
"0211.345.677","AC","000","2","124",,01-01-1968
"0211.345.776","AC","000","2","124",,01-01-1968
"0211.345.875","AC","000","2","124",,01-01-1968
"0211.346.073","AC","000","2","124",,01-01-1968
"0211.346.172","AC","000","2","124",,01-01-1968
"0211.346.271","AC","000","2","124",,01-01-1968
"0211.346.370","AC","000","2","124",,01-01-1968
"0211.346.568","AC","000","2","124",,01-01-1963
"0211.346.766","AC","000","2","124",,01-01-1968
"0211.346.865","AC","000","2","124",,01-01-1968
"0211.347.063","AC","000","2","124",,01-01-1968
"0211.347.162","AC","000","2","124",,01-01-1968
"0211.347.360","AC","000","2","124",,01-01-1968
"0211.347.459","AC","000","2","124",,01-01-1968
"0211.347.558","AC","000","2","124",,01-01-1968
"0211.347.657","AC","000","2","124",,01-01-1968
"0211.347.756","AC","000","2","124",,01-01-1968
"0211.347.954","AC","000","2","124",,01-01-1968
"0211.348.053","AC","000","2","124",,01-01-1968
"0211.348.251","AC","000","2","124",,01-01-1968
"0211.348.350","AC","000","2","124",,01-01-1968
"0211.348.449","AC","000","2","124",,01-01-1968
"0211.348.548","AC","000","2","124",,01-01-1968
"0211.348.647","AC","000","2","124",,01-01-1968
"0211.348.746","AC","000","2","124",,01-01-1968
"0211.348.944","AC","000","2","124",,01-01-1968
"0211.349.241","AC","000","2","124",,01-01-1968
"0211.349.340","AC","000","2","124",,01-01-1968
"0211.349.439","AC","000","2","124",,01-01-1968
"0211.349.538","AC","000","2","124",,01-01-1968
"0211.349.637","AC","000","2","124",,01-01-1968
"0211.349.835","AC","000","2","124",,01-01-1968
"0211.349.934","AC","000","2","124",,01-01-1968
"0211.350.231","AC","000","2","124",,01-01-1968
"0211.350.330","AC","000","2","124",,01-01-1968
"0211.350.429","AC","000","2","124",,01-01-1968
"0211.350.528","AC","000","2","124",,01-01-1968
"0211.350.627","AC","000","2","124",,01-01-1968
"0211.350.726","AC","000","2","124",,01-01-1968
"0211.350.825","AC","000","2","124",,01-01-1968
"0211.350.924","AC","000","2","124",,01-01-1968
"0211.351.023","AC","000","2","124",,01-01-1968
"0211.351.122","AC","000","2","124",,01-01-1968
"0211.351.221","AC","000","2","124",,01-01-1968
"0211.351.320","AC","000","2","124",,01-01-1968
"0211.351.419","AC","000","2","124",,01-01-1968
"0211.351.518","AC","000","2","124",,01-01-1968
"0211.351.617","AC","000","2","124",,01-01-1968
"0211.352.211","AC","000","2","124",,01-01-1968
"0211.352.310","AC","000","2","124",,01-01-1968
"0211.352.508","AC","000","2","124",,01-08-1988
"0211.352.607","AC","000","2","124",,01-01-1968
"0211.352.706","AC","000","2","124",,01-01-1968
"0211.352.805","AC","000","2","124",,01-01-1968
"0211.352.904","AC","000","2","124",,01-01-1968
"0211.353.102","AC","000","2","124",,01-01-1968
"0211.353.201","AC","000","2","124",,01-01-1968
"0211.353.496","AC","000","2","124",,01-01-1968
"0211.353.595","AC","000","2","124",,01-01-1968
"0211.353.694","AC","000","2","124",,01-01-1968
"0211.353.793","AC","000","2","124",,01-01-1968
"0211.353.892","AC","000","2","124",,01-01-1968
"0211.353.991","AC","000","2","124",,01-01-1968
"0211.354.090","AC","000","2","124",,01-01-1968
"0211.354.189","AC","000","2","124",,01-01-1968
"0211.354.288","AC","000","2","124",,01-01-1968
"0211.354.486","AC","000","2","124",,01-01-1968
"0211.354.585","AC","000","2","124",,01-01-1968
"0211.354.882","AC","000","2","124",,01-01-1968
"0211.354.981","AC","000","2","124",,01-01-1968
"0211.355.080","AC","000","2","124",,01-01-1968
"0211.355.278","AC","000","2","124",,01-01-1968
"0211.355.377","AC","000","2","124",,01-01-1968
"0211.355.476","AC","000","2","124",,01-01-1968
"0211.355.575","AC","000","2","124",,01-01-1968
"0211.355.674","AC","000","2","124",,01-01-1968
"0211.355.773","AC","000","2","124",,01-01-1968
"0211.355.872","AC","000","2","124",,01-01-1968
"0211.355.971","AC","000","2","124",,01-01-1968
"0211.356.070","AC","000","2","124",,01-01-1968
"0211.356.169","AC","000","2","124",,01-01-1968
"0211.356.367","AC","000","2","124",,01-01-1968
"0211.356.466","AC","000","2","124",,01-01-1968
"0211.356.565","AC","000","2","124",,01-01-1968
"0211.356.664","AC","000","2","124",,01-01-1968
"0211.356.763","AC","000","2","124",,01-01-1968
"0211.356.862","AC","000","2","124",,01-01-1968
"0211.356.961","AC","000","2","124",,01-01-1968
"0211.357.060","AC","000","2","124",,01-01-1968
"0211.357.258","AC","000","2","124",,01-01-1968
"0211.357.357","AC","000","2","124",,01-01-1968
"0211.357.456","AC","000","2","124",,01-01-1968
"0211.357.555","AC","000","2","124",,01-01-1968
"0211.357.654","AC","000","2","124",,01-01-1968
"0211.357.753","AC","000","2","124",,01-01-1968
"0211.357.852","AC","000","2","124",,01-01-1968
"0211.357.951","AC","000","2","124",,01-01-1968
"0211.358.050","AC","000","2","124",,01-01-1968
"0211.358.149","AC","000","2","124",,01-01-1968
"0211.358.248","AC","000","2","124",,01-01-1968
"0211.358.347","AC","000","2","124",,01-01-1968
"0211.358.446","AC","000","2","124",,01-01-1968
"0211.358.545","AC","000","2","124",,01-01-1968
"0211.358.644","AC","000","2","124",,01-01-1968
"0211.358.743","AC","000","2","124",,01-01-1968
"0211.358.842","AC","000","2","124",,01-01-1968
"0211.358.941","AC","000","2","124",,01-01-1968
"0211.359.139","AC","000","2","124",,01-01-1968
"0211.359.238","AC","000","2","124",,01-01-1968
"0211.359.436","AC","000","2","124",,01-01-1968
"0211.359.535","AC","000","2","124",,01-01-1968
"0211.359.634","AC","000","2","124",,01-01-1968
"0211.359.733","AC","000","2","124",,01-01-1968
"0211.359.832","AC","000","2","124",,01-01-1968
"0211.359.931","AC","000","2","124",,01-01-1968
"0211.360.030","AC","000","2","124",,01-01-1968
"0211.360.129","AC","000","2","124",,01-01-1968
"0211.360.228","AC","000","2","124",,01-01-1968
"0211.360.327","AC","000","2","124",,01-01-1968
"0211.360.426","AC","000","2","124",,01-01-1968
"0211.360.723","AC","000","2","124",,01-01-1968
"0211.360.822","AC","000","2","124",,01-01-1968
"0211.360.921","AC","000","2","124",,01-01-1968
"0211.361.020","AC","000","2","124",,01-01-1968
"0211.361.119","AC","000","2","124",,01-01-1968
"0211.361.218","AC","000","2","124",,01-01-1968
"0211.361.317","AC","000","2","124",,01-01-1968
"0211.361.515","AC","000","2","124",,01-01-1968
"0211.361.614","AC","000","2","124",,01-01-1968
"0211.361.713","AC","000","2","124",,01-01-1968
"0211.361.812","AC","000","2","124",,20-10-1953
"0211.361.911","AC","000","2","124",,01-01-1968
"0211.362.208","AC","000","2","124",,01-01-1968
"0211.362.307","AC","000","2","124",,01-01-1968
"0211.362.604","AC","000","2","124",,01-01-1968
"0211.362.703","AC","000","2","124",,01-01-1968
"0211.362.901","AC","000","2","124",,01-01-1968
"0211.363.097","AC","000","2","124",,01-01-1968
"0211.363.295","AC","000","2","124",,01-01-1968
"0211.363.394","AC","000","2","124",,01-01-1968
"0211.363.493","AC","000","2","124",,01-01-1968
"0211.363.790","AC","000","2","124",,01-01-1968
"0211.363.889","AC","000","2","124",,01-01-1968
"0211.363.988","AC","000","2","124",,01-01-1968
"0211.364.087","AC","000","2","124",,01-01-1968
"0211.364.186","AC","000","2","124",,01-01-1968
"0211.364.285","AC","000","2","124",,01-01-1968
"0211.364.384","AC","000","2","124",,01-01-1968
"0211.364.483","AC","000","2","124",,01-01-1968
"0211.364.582","AC","000","2","124",,01-01-1968
"0211.364.879","AC","000","2","124",,01-01-1968
"0211.364.978","AC","000","2","124",,01-01-1968
"0211.365.077","AC","000","2","124",,01-01-1968
"0211.365.176","AC","000","2","124",,01-01-1968
"0211.365.275","AC","000","2","124",,01-01-1968
"0211.365.374","AC","000","2","124",,01-01-1968
"0211.365.473","AC","000","2","124",,01-01-1968
"0211.365.572","AC","000","2","124",,01-01-1968
"0211.365.869","AC","000","2","124",,01-01-1968
"0211.365.968","AC","000","2","124",,01-01-1968
"0211.366.067","AC","000","2","124",,01-01-1968
"0211.366.166","AC","000","2","124",,01-01-1968
"0211.366.265","AC","000","2","124",,01-01-1968
"0211.366.364","AC","000","2","124",,01-01-1968
"0211.366.463","AC","000","2","124",,01-01-1968
"0211.366.661","AC","000","2","124",,01-01-1968
"0211.366.760","AC","000","2","124",,01-01-1968
"0211.366.859","AC","000","2","124",,01-01-1968
"0211.366.958","AC","000","2","124",,01-01-1968
"0211.367.057","AC","000","2","124",,01-01-1968
"0211.367.156","AC","000","2","124",,01-01-1968
"0211.367.255","AC","000","2","124",,01-01-1968
"0211.367.354","AC","000","2","124",,01-01-1968
"0211.367.453","AC","000","2","124",,01-01-1968
"0211.367.552","AC","000","2","124",,01-01-1968
"0211.367.651","AC","000","2","124",,01-01-1968
"0211.367.750","AC","000","2","124",,01-01-1968
"0211.367.948","AC","000","2","124",,01-01-1968
"0211.368.047","AC","000","2","124",,01-01-1968
"0211.368.245","AC","000","2","124",,01-01-1968
"0211.368.344","AC","000","2","124",,01-01-1968
"0211.368.443","AC","000","2","124",,01-01-1968
"0211.368.740","AC","000","2","124",,01-01-1968
"0211.368.839","AC","000","2","124",,01-01-1968
"0211.368.938","AC","000","2","124",,01-01-1968
"0211.369.037","AC","000","2","124",,01-01-1968
"0211.369.136","AC","000","2","124",,01-01-1968
"0211.369.235","AC","000","2","124",,01-01-1968
"0211.369.334","AC","000","2","124",,01-01-1968
"0211.369.433","AC","000","2","124",,01-01-1968
"0211.369.532","AC","000","2","124",,01-01-1968
"0211.369.631","AC","000","2","124",,01-01-1968
"0211.369.730","AC","000","2","124",,01-01-1968
"0211.369.829","AC","000","2","124",,01-01-1968
"0211.369.928","AC","000","2","124",,01-01-1968
"0211.370.027","AC","000","2","124",,01-01-1968
"0211.370.225","AC","000","2","124",,01-01-1968
"0211.370.423","AC","000","2","124",,01-01-1968
"0211.370.522","AC","000","2","124",,01-01-1968
"0211.370.621","AC","000","2","124",,01-01-1968
"0211.370.720","AC","000","2","124",,01-01-1968
"0211.370.819","AC","000","2","124",,01-01-1968
"0211.370.918","AC","000","2","124",,01-01-1968
"0211.371.017","AC","000","2","124",,01-01-1968
"0211.371.116","AC","000","2","124",,01-01-1968
"0211.371.215","AC","000","2","124",,01-01-1968
"0211.371.314","AC","000","2","124",,01-01-1968
"0211.371.413","AC","000","2","124",,01-01-1968
"0211.371.611","AC","000","2","124",,20-07-1978
"0211.371.710","AC","000","2","124",,01-01-1968
"0211.371.908","AC","000","2","124",,01-01-1968
"0211.372.007","AC","000","2","124",,01-01-1956
"0211.372.106","AC","000","2","124",,01-01-1968
"0211.372.205","AC","000","2","124",,01-01-1968
"0211.372.304","AC","000","2","124",,01-01-1968
"0211.372.403","AC","000","2","124",,01-01-1968
"0211.372.502","AC","000","2","124",,01-01-1968
"0211.372.601","AC","000","2","124",,01-01-1968
"0211.372.797","AC","000","2","124",,01-01-1968
"0211.372.896","AC","000","2","124",,01-01-1968
"0211.372.995","AC","000","2","124",,01-01-1968
"0211.373.094","AC","000","2","124",,01-01-1968
"0211.373.193","AC","000","2","124",,01-01-1968
"0211.373.292","AC","000","2","124",,01-01-1968
"0211.373.391","AC","000","2","124",,01-01-1968
"0211.373.490","AC","000","2","124",,01-01-1968
"0211.373.589","AC","000","2","124",,01-01-1968
"0211.373.688","AC","000","2","124",,01-01-1968
"0211.373.985","AC","000","2","124",,31-08-1962
"0211.374.084","AC","000","2","124",,01-01-1968
"0211.374.183","AC","000","2","124",,01-01-1968
"0211.374.282","AC","000","2","124",,01-01-1968
"0211.374.381","AC","000","2","124",,01-01-1968
"0211.374.480","AC","000","2","124",,01-01-1968
"0211.374.579","AC","000","2","124",,01-01-1968
"0211.374.678","AC","000","2","124",,01-01-1968
"0211.374.876","AC","000","2","124",,01-01-1968
"0211.374.975","AC","000","2","124",,01-01-1968
"0211.375.074","AC","000","2","124",,01-01-1968
"0211.375.272","AC","000","2","124",,01-01-1968
"0211.375.470","AC","000","2","124",,01-01-1968
"0211.375.569","AC","000","2","124",,01-01-1968
"0211.375.668","AC","000","2","124",,01-01-1968
"0211.375.866","AC","000","2","124",,01-01-1968
"0211.375.965","AC","000","2","124",,01-01-1968
"0211.376.163","AC","000","2","124",,01-01-1968
"0211.376.262","AC","000","2","124",,01-01-1968
"0211.376.361","AC","000","2","124",,01-01-1968
"0211.376.460","AC","000","2","124",,01-01-1968
"0211.376.856","AC","000","2","124",,01-01-1968
"0211.377.054","AC","000","2","124",,01-01-1968
"0211.377.153","AC","000","2","124",,01-01-1968
"0211.377.252","AC","000","2","124",,01-01-1968
"0211.377.351","AC","000","2","124",,01-01-1968
"0211.377.450","AC","000","2","124",,01-01-1968
"0211.377.549","AC","000","2","124",,01-01-1968
"0211.377.648","AC","000","2","124",,01-01-1968
"0211.377.846","AC","000","2","124",,01-01-1968
"0211.377.945","AC","000","2","124",,01-01-1968
"0211.378.044","AC","000","2","124",,01-01-1968
"0211.378.143","AC","000","2","124",,01-01-1968
"0211.378.242","AC","000","2","124",,01-01-1968
"0211.378.341","AC","000","2","124",,01-01-1968
"0211.378.440","AC","000","2","124",,01-01-1968
"0211.378.539","AC","000","2","124",,01-01-1968
"0211.378.638","AC","000","2","124",,01-01-1968
"0211.378.737","AC","000","2","124",,01-01-1968
"0211.378.836","AC","000","2","124",,01-01-1968
"0211.378.935","AC","000","2","124",,01-01-1968
"0211.379.034","AC","000","2","124",,01-01-1968
"0211.379.133","AC","000","2","124",,01-01-1968
"0211.379.232","AC","000","2","124",,01-01-1968
"0211.379.331","AC","000","2","124",,01-01-1968
"0211.379.430","AC","000","2","124",,30-06-1969
"0211.379.529","AC","000","2","124",,01-01-1968
"0211.379.628","AC","000","2","124",,01-01-1968
"0211.379.727","AC","000","2","124",,01-01-1968
"0211.379.826","AC","000","2","124",,01-01-1968
"0211.379.925","AC","000","2","124",,01-01-1968
"0211.380.024","AC","000","2","124",,01-01-1968
"0211.380.123","AC","000","2","124",,01-01-1968
"0211.380.222","AC","000","2","124",,01-01-1968
"0211.380.321","AC","000","2","124",,01-01-1968
"0211.380.519","AC","000","2","124",,01-01-1968
"0211.380.618","AC","000","2","124",,01-01-1968
"0211.380.717","AC","000","2","124",,01-01-1968
"0211.380.915","AC","000","2","124",,01-01-1968
"0211.381.014","AC","000","2","124",,01-01-1968
"0211.381.212","AC","000","2","124",,01-01-1968
"0211.381.311","AC","000","2","124",,01-01-1968
"0211.381.509","AC","000","2","124",,01-01-1968
"0211.381.608","AC","000","2","124",,01-01-1968
"0211.381.707","AC","000","2","124",,01-01-1968
"0211.381.806","AC","000","2","124",,01-01-1968
"0211.381.905","AC","000","2","124",,01-01-1968
"0211.382.004","AC","000","2","124",,01-01-1968
"0211.382.103","AC","000","2","124",,01-01-1968
"0211.382.202","AC","000","2","124",,01-01-1968
"0211.382.301","AC","000","2","124",,01-01-1968
"0211.382.497","AC","000","2","124",,01-01-1968
"0211.382.596","AC","000","2","124",,01-01-1968
"0211.382.695","AC","000","2","124",,01-01-1968
"0211.382.794","AC","000","2","124",,01-01-1968
"0211.382.893","AC","000","2","124",,01-01-1968
"0211.382.992","AC","000","2","124",,01-01-1968
"0211.383.091","AC","000","2","124",,01-01-1968
"0211.383.190","AC","000","2","124",,01-01-1968
"0211.383.289","AC","000","2","124",,01-01-1968
"0211.383.388","AC","000","2","124",,01-01-1968
"0211.383.487","AC","000","2","124",,01-01-1968
"0211.383.586","AC","000","2","124",,01-01-1968
"0211.383.685","AC","000","2","124",,01-01-1968
"0211.383.784","AC","000","2","124",,01-01-1968
"0211.383.883","AC","000","2","124",,01-01-1968
"0211.383.982","AC","000","2","124",,01-01-1968
"0211.384.081","AC","000","2","124",,01-01-1968
"0211.384.180","AC","000","2","124",,01-01-1968
"0211.384.279","AC","000","2","124",,01-01-1968
"0211.384.477","AC","000","2","124",,01-01-1968
"0211.384.576","AC","000","2","124",,01-01-1968
"0211.384.675","AC","000","2","124",,01-01-1968
"0211.384.774","AC","000","2","124",,01-01-1968
"0211.384.873","AC","000","2","124",,01-01-1968
"0211.384.972","AC","000","2","124",,01-01-1968
"0211.385.170","AC","000","2","124",,01-01-1968
"0211.385.269","AC","000","2","124",,01-01-1968
"0211.385.368","AC","000","2","124",,01-01-1968
"0211.385.467","AC","000","2","124",,01-01-1968
"0211.385.566","AC","000","2","124",,01-01-1968
"0211.385.665","AC","000","2","124",,01-01-1968
"0211.385.764","AC","000","2","124",,01-01-1968
"0211.385.863","AC","000","2","124",,01-01-1968
"0211.385.962","AC","000","2","124",,01-01-1968
"0211.386.061","AC","000","2","124",,01-01-1968
"0211.386.160","AC","000","2","124",,01-01-1968
"0211.386.259","AC","000","2","124",,01-01-1968
"0211.386.358","AC","000","2","124",,01-01-1968
"0211.386.457","AC","000","2","124",,01-01-1968
"0211.386.556","AC","000","2","124",,01-01-1888
"0211.386.655","AC","000","2","124",,01-01-1968
"0211.386.754","AC","000","2","124",,01-01-1968
"0211.386.853","AC","000","2","124",,01-01-1968
"0211.386.952","AC","000","2","124",,01-01-1968
"0211.387.051","AC","000","2","124",,01-01-1968
"0211.387.249","AC","000","2","124",,01-01-1968
"0211.387.744","AC","000","2","124",,01-01-1968
"0211.387.942","AC","000","2","124",,01-01-1968
"0211.388.041","AC","000","2","124",,01-01-1968
"0211.388.338","AC","000","2","124",,01-01-1968
"0211.388.635","AC","000","2","124",,01-01-1968
"0211.388.734","AC","000","2","124",,01-01-1968
"0211.388.833","AC","000","2","124",,01-01-1968
"0211.389.031","AC","000","2","124",,01-01-1968
"0211.389.130","AC","000","2","124",,01-01-1968
"0211.389.229","AC","000","2","124",,01-01-1968
"0211.389.427","AC","000","2","124",,01-01-1968
"0211.389.625","AC","000","2","124",,01-01-1968
"0211.389.724","AC","000","2","124",,01-01-1968
"0211.389.823","AC","000","2","124",,01-01-1968
"0211.389.922","AC","000","2","124",,01-01-1968
"0211.390.021","AC","000","2","124",,01-01-1968
"0211.390.120","AC","000","2","124",,01-01-1968
"0211.390.219","AC","000","2","124",,01-01-1968
"0211.390.318","AC","000","2","124",,01-01-1968
"0211.390.615","AC","000","2","124",,01-01-1968
"0211.390.813","AC","000","2","124",,01-01-1968
"0211.390.912","AC","000","2","124",,01-01-1968
"0211.391.011","AC","000","2","124",,01-01-1968
"0211.391.110","AC","000","2","124",,01-01-1968
"0211.391.209","AC","000","2","124",,01-01-1968
"0211.391.308","AC","000","2","124",,01-01-1968
"0211.391.407","AC","000","2","124",,01-01-1968
"0211.391.506","AC","000","2","124",,01-01-1968
"0211.391.605","AC","000","2","124",,01-01-1968
"0211.391.704","AC","000","2","124",,01-01-1968
"0211.391.803","AC","000","2","124",,01-01-1968
"0211.391.902","AC","000","2","124",,01-01-1968
"0211.392.001","AC","000","2","124",,01-01-1968
"0211.392.197","AC","000","2","124",,01-01-1968
"0211.392.296","AC","000","2","124",,01-01-1968
"0211.392.494","AC","000","2","124",,01-01-1968
"0211.392.593","AC","000","2","124",,01-01-1968
"0211.392.791","AC","000","2","124",,01-01-1968
"0211.392.890","AC","000","2","124",,01-01-1968
"0211.393.187","AC","000","2","124",,01-01-1968
"0211.393.286","AC","000","2","124",,01-01-1968
"0211.393.385","AC","000","2","124",,01-01-1968
"0211.393.484","AC","000","2","124",,01-01-1968
"0211.393.583","AC","000","2","124",,01-01-1968
"0211.393.682","AC","000","2","124",,01-01-1968
"0211.393.781","AC","000","2","124",,01-01-1968
